timestamp,service,endpoint,http_method,http_status,response_time_ms,error_flag,environment,request_id,trace_id,span_id,payload_size_bytes,cpu_usage_percent,memory_usage_mb,log_level,error_message,Browser,Operating System
2025-04-10T23:54:00.869779,Payment,/api/payments/<transaction_id>,GET,404,194.7,True,multi-cloud,29a35e3b-86e0-424f-98bb-90fc229f3312,a72e8c91-69bd-415b-a222-3920e3e73b41,ea088524-f6c7-45e0-af51-fb5462d49867,1128,42.24,155.94,ERROR,Timeout error,Edge 100.9.0,Windows 14.1
2025-04-10T23:54:12.869779,Notification,/api/notifications/<notification_id>/read,PATCH,200,91.19,False,on-premises,e4c37747-f293-4e7b-985d-5f86f83b14bb,f8ee7945-1f73-466c-9d79-4a327d8a7286,83435117-f2ab-4918-b272-f84f3fc78749,4640,44.69,415.76,INFO,,Opera 81.6.6,Windows 10.8
2025-04-10T23:54:18.869779,User,/api/users/<user_id>/update,PATCH,500,173.99,True,multi-cloud,72cf0c48-e0a8-4099-a6ee-038341e6d675,d86e2eed-a4aa-42ac-b4ec-721fbc1edab6,a14cfe96-64da-4b2b-9ec2-bdba3b5f6c1f,794,27.49,106.53,WARN,Timeout error,Chrome 75.5.1,Android 13.6
2025-04-10T23:54:31.869779,Notification,/api/notifications/send,POST,503,105.42,True,cloud,2a7ff424-bc50-4769-b49d-e15df26c18e2,2b0253a3-f595-415b-bcde-410dbdd81c03,18925a0f-0eda-4832-9dce-ebf8448db195,771,88.54,53.09,WARN,Database connection failed,Firefox 86.7.7,Linux 12.0
2025-04-10T23:54:32.869779,Payment,/api/payments/<transaction_id>/update_status,PATCH,500,177.85,True,on-premises,6c2fa043-cb3a-402a-aeac-6b224e8ec86d,56500bf2-ef26-45a2-8fb7-28331dd65143,f8a34083-bea2-4051-9710-a964312c77a2,2125,81.79,258.45,WARN,Timeout error,Edge 96.8.3,Windows 13.9
2025-04-10T23:54:32.869779,Delivery,/api/deliveries/<delivery_id>/tracking,GET,200,342.94,False,cloud,d9295587-4dc7-4cf1-94bb-11f5c4693fc7,594f7d3b-3c76-42a1-a774-a2a432b9ab4a,ccbc4afb-79e8-43a3-8455-1af0ec8c90c4,3756,49.06,114.51,INFO,,Safari 89.4.2,Android 10.6
2025-04-10T23:54:42.869779,Restaurant,/api/restaurants/<restaurant_id>/menu/<menu_item_id>,DELETE,500,205.12,True,cloud,57dd4542-c87f-47fd-a9ec-712ca9654c0b,eaa8ba35-02e6-458e-bf88-3abea7ac1d38,6187dfef-f2b4-4581-b414-991be066b547,4535,60.49,184.46,WARN,Authentication failed,Edge 100.4.4,iOS 11.5
2025-04-10T23:54:53.869779,User,/api/users/<user_id>,GET,200,137.67,False,cloud,f731b2dc-8dc5-4c81-b2b4-8e32380f70b9,56d5afef-e746-4748-b9db-125acd313808,9a21a289-bdb8-4460-9e6c-33771abe777e,4976,79.83,398.76,WARN,,Opera 73.0.7,Windows 11.3
2025-04-10T23:55:02.869779,Payment,/api/payments/<transaction_id>,GET,404,697.03,True,cloud,7f39ced0-1053-4ce2-a9c5-e738377d1e56,9e4d8e88-fa1b-45c1-a8fd-8211bbf8dbe6,77098e4f-ec25-424d-b11e-c6d7e90028ee,1204,67.06,97.04,ERROR,Invalid request payload,Opera 99.1.4,macOS 10.7
2025-04-10T23:55:22.869779,Order,/api/orders/<order_id>/update_status,PATCH,500,245.86,True,multi-cloud,07f3f388-6c7b-4410-b9c0-9f12ee1bad8a,5ca24b6e-47c1-43e3-9edf-1e0eb9cff8b6,dd77a1f3-60cd-446d-b553-6a10fca574ea,3509,11.1,484.49,ERROR,Invalid request payload,Chrome 84.2.2,iOS 14.4
