timestamp,service,endpoint,http_method,http_status,response_time_ms,error_flag,environment,request_id,trace_id,span_id,payload_size_bytes,cpu_usage_percent,memory_usage_mb,log_level,error_message
2025-04-01T18:03:09.559519,Order,/api/orders/create,POST,200,251.85,False,cloud,39e0241a-fd02-43d3-8a09-c5ade3402f39,1f2b6d1f-5a74-4974-a061-da63a515c8c0,122aea4e-d42f-46d6-a9df-33b984feba47,3317,32.94,281.5,WARN,
2025-04-01T18:05:27.559519,Delivery,/api/deliveries/<delivery_id>/mark_delivered,PATCH,201,302.61,False,multi-cloud,fd4035b3-7fcb-480c-bddf-3d43ba2db614,c5ff02e7-645a-45c5-85a4-7f66815662c5,9113004b-2ed1-4ae7-bd16-7c51a88fcecb,944,25.01,200.04,WARN,
2025-04-01T18:07:13.559519,Delivery,/api/deliveries/<delivery_id>/update_location,PATCH,200,310.43,False,on-premises,cc64d70d-2cfd-4ec9-b09e-1bdefa21e0e7,b7a17414-355f-4700-9366-ec25f695a784,a44993e9-763a-430e-810e-c9e17c698048,3146,44.6,497.7,WARN,
2025-04-01T18:08:33.559519,Delivery,/api/deliveries/<delivery_id>/update_status,PATCH,201,310.71,False,multi-cloud,5ef5c421-21c7-41b1-934d-88d8f740f1e6,85a244f8-262b-4cbd-806f-f73b7703c1c7,31d13a4a-9ce8-4a20-8384-7dde864b9212,1717,45.72,257.64,WARN,
2025-04-01T18:09:47.559519,Payment,/api/payments/refund,POST,500,171.38,True,on-premises,a2c6d298-cdbd-43c9-9f2a-e17ea328b34d,693659f6-2833-4312-beeb-ef1c6bf7f0c0,38802406-80fd-4c54-a8b0-28ed449aa969,636,60.7,440.51,WARN,Invalid request payload
2025-04-01T18:10:32.559519,Restaurant,/api/restaurants/<restaurant_id>/update,PATCH,503,201.16,True,cloud,05f5cccb-6898-4cdf-97fb-a3891e641754,df8cfa37-ef79-4d30-8da5-333c9d456e77,77886927-6c01-4017-abbf-0c7026631fbe,4960,43.93,208.26,ERROR,Timeout error
2025-04-01T18:11:17.559519,User,/api/users/<user_id>,GET,201,149.69,False,on-premises,591d0363-f561-4032-b75e-a7fa9c7af32c,d1aa200c-2977-4afe-ab31-b286580ddaa0,5aaa147d-6ca8-4a1f-9ea5-31c41585c518,2135,17.76,127.27,WARN,
2025-04-01T18:13:54.559519,Delivery,/api/deliveries/<delivery_id>/reassign,PATCH,200,321.25,False,on-premises,6c321229-5c12-485d-b6fc-8b97e973f5d3,6e0afec4-1a66-4f4b-b4cd-dc97e77b4dfe,58219fae-c03e-4918-a7d7-8fcff0adad34,2079,58.49,281.9,INFO,
2025-04-01T18:14:23.559519,User,/api/users/login,POST,200,158.59,False,on-premises,89539153-f8d2-40d1-8cd4-58b075bd1340,9f7177f1-581a-4f8e-a488-13d0b90120b5,303f6868-df1f-49bb-bf79-90d52e83bb33,3291,24.82,373.09,WARN,
2025-04-01T18:15:49.559519,Payment,/api/payments/<transaction_id>/update_status,PATCH,201,148.27,False,cloud,51569ef9-9877-4d75-8ef4-90a580edd76d,62ce2d13-26a6-4276-b87b-5b949010fc2a,93c0a3ff-efe0-4b8c-bf09-d9b3f42d2012,3932,53.06,375.28,INFO,
